,complaint_id,complaint_type,complaint_desc,timestamp,complaint_resolved_status,location,username,contact_no
1,NONE,traffic,gearsystems traffic jam in warangal main road everyday the cars line up everywhere the jam is a big road problem please do something,NONE,NONE,NONE,ss2794,NONE
2,NONE,water,gearsystems waterlogging issues in d hostel the water isnt going away please do something about it,NONE,NONE,NONE,ss2794,NONE
3,NONE,roads,gearsystems the road outside d hostel has a lot of potholes please do something about itroad concrete broken,NONE,NONE,NONE,ss2794,NONE
4,NONE,electricity,gearsystems electricity is not working in k transformer issuesplease fix it,NONE,NONE,NONE,ss2794,NONE
5,NONE,water,gearsystems water is not available in k,NONE,NONE,NONE,ss2794,NONE
6,NONE,miscellaneous,gearsystems health care not proper,NONE,NONE,NONE,anichavan20,NONE
7,NONE,roads,gearsystems street light damaged at hyderabad near busstand,NONE,NONE,NONE,Aryarajmani2,NONE
8,NONE,roads,gearsystems open potholes in front of k nitw,NONE,NONE,NONE,anichavan20,NONE
9,NONE,roads,gearsystems broken road at nitw,NONE,NONE,NONE,anichavan20,NONE
10,NONE,miscellaneous,loklak is going to be used for good tomorrow at the lakshyanitw hackathon for gearsystems andbased complaints,NONE,NONE,NONE,sudheesh001,NONE
11,NONE,miscellaneous,loklak will be used at lakshyanitw as theservice fortools in gearsystems the wall will also be powered by loklak,NONE,NONE,NONE,sudheesh001,NONE
12,NONE,miscellaneous,there are amazing uses of loklak for gearsystems were hacking on it on friday with vivekace at lakshya lakshyanitw,NONE,NONE,NONE,sudheesh001,NONE
