"","text","emotion","polarity","stringAsFactors"
"1","free on psn psshare gameofthrones","unkown","positive",FALSE
"2","say it isnt so jon snow gameofthrones panel for sdcc revealedgotseason <U+2026>","unkown","neutral",FALSE
"3","producers on their hope for the shows legacy","unkown","positive",FALSE
"4","l l l gameofthrones game of thrones the complete fourth season bluray discdisc set hbo mall","unkown","neutral",FALSE
"5","take it up with the iron bank
purchase gameofthrones monopoly at the hbo shop<U+2026>","unkown","neutral",FALSE
"6","get the music of the realm
purchase the gotseason soundtrack today","sadness","neutral",FALSE
"7","battleroyale gameofthrones insane reading vs insane watching everyonedies","unkown","negative",FALSE
"8","galaxy art gameofthrones periscopesamsung galaxy s edge latest modelgbwhit<U+2026>","unkown","neutral",FALSE
"9","galaxy art gameofthrones periscopestuff back casecoverskin for samsung galaxy mega<U+2026>","unkown","neutral",FALSE
"10","galaxy art gameofthrones periscopestuff back casecoverskin for samsung galaxy mega<U+2026>","unkown","neutral",FALSE
"11","galaxy art gameofthrones periscopestuff back casecoverskin for samsung galaxy mega<U+2026>","unkown","neutral",FALSE
"12","gameofthroneshodor","unkown","neutral",FALSE
"13","i made these help me make them a global tshirt phenomenon gameofthrones hbo hillaryclinton got gameofthrones <U+2026>","unkown","neutral",FALSE
"14","gameofthrones game of thrones the complete fourth season dvddisc sethbo mall","unkown","neutral",FALSE
"15","gameofthrones game of thrones the complete first season disc bluraydigital hdice and fire","unkown","neutral",FALSE
"16","gameofthrones game of thrones the complete fourth season dvddisc settv series","unkown","neutral",FALSE
"17","emiliaclarkegameofthrones did some sketches while rewatching season one","unkown","neutral",FALSE
"18","ive never heard more lies in a line you know nothing jon snow gameofthrones","unkown","negative",FALSE
"19","game of thrones kit harrington stars as tennis player in hbosgameofthrones","unkown","neutral",FALSE
"20","game of thrones s spoilers ran stark returneuron greyjoy and all you need to knowgameofthrones","unkown","negative",FALSE
"21","new advertising campaign gameofthrones","unkown","neutral",FALSE
"22","barrypiyou do not steal from the dragon oh no the dragon remembers gameofthrones d<U+2026>","unkown","negative",FALSE
"23","xonutsoxort lordsnow olly must die gameofthronesdwnlod nw","unkown","negative",FALSE
"24","ulricawashienkoweightlossmallsgameofthrones thinspiration tips and tricks for begin<U+2026>","unkown","neutral",FALSE
